2496,-5493,8959,-11251,2562,-11901
1697,-2847,2343,-4704,5619,-12571
2338,-3380,2809,-7156,2002,-4391
3734,-6297,3039,-10059,1693,-6612
2431,-5181,4504,-6489,4972,-7899
2006,-3101,2265,-5390,2412,-4264
1886,-2962,2315,-7906,1995,-3070
3279,-4944,4040,-5951,6061,-7818
1578,-5730,3806,-7743,4362,-11724
1535,-2755,2075,-3614,2757,-3849
3676,-5071,4496,-9309,1630,-6921
1798,-4060,6585,-11884,2430,-4227
1842,-3384,4652,-6570,4933,-9030
1527,-2909,5821,-12166,2629,-4219
1706,-3053,2534,-3770,4469,-8341
1737,-3360,2338,-3760,4519,-10289
2352,-4733,3851,-5720,8996,-11705
1559,-2595,4505,-5921,1575,-2631
2953,-4235,2127,-5812,3095,-12152
1541,-2572,1610,-2727,8609,-12093
1769,-5029,6278,-10133,3511,-12500
1644,-2699,2769,-4543,3096,-6821
2809,-6685,8201,-13136,3484,-8613
1626,-5334,5351,-9643,3950,-6166
4334,-5589,7146,-11068,4970,-10128
1580,-2634,1602,-3332,4242,-9524
2143,-3781,3023,-5293,4319,-9181
1509,-2662,3569,-5234,1670,-2709
2053,-3182,2049,-5270,10737,-13095
1544,-2596,2052,-8706,1530,-2652
1580,-2663,9585,-12078,3785,-5858
1739,-2897,3100,-4283,3383,-9498
2390,-5208,2037,-6331,3020,-6338
7174,-8966,7102,-10607,3755,-11957
3225,-4614,5302,-11008,3501,-4727
3708,-5111,4825,-6088,7109,-12121
3059,-4589,5339,-9793,7349,-10852
1779,-2937,1901,-4826,7006,-13448
1748,-2839,2071,-4177,1718,-3063
1539,-2844,1606,-3595,3700,-5224
1535,-2609,1519,-2651,4872,-11288
1529,-2671,1721,-3574,1616,-7440
3412,-6175,1932,-10725,9389,-11084
1772,-2999,8144,-10414,2168,-5111
1564,-2604,4585,-8687,1775,-2823
1542,-2720,1567,-3788,2958,-7259
1556,-2581,7130,-11262,2089,-3761
1741,-4442,2757,-7242,3945,-12599
1749,-3304,5641,-11653,2176,-4687
1508,-2603,1981,-4198,1593,-4524
2136,-3536,9089,-12078,2353,-5651
1534,-2588,1569,-2687,5781,-12921
1633,-2668,4111,-8507,2685,-5299
1787,-4317,3115,-4629,6184,-7745
1895,-3159,1916,-9205,4943,-6014
1828,-3106,5321,-8117,8059,-11110
1536,-2691,1822,-2855,1515,-3844
1886,-3209,5892,-8805,2466,-3709
2814,-4268,3868,-8798,4075,-8594
2368,-3411,5837,-9892,3659,-7460
3137,-4852,2234,-5397,6435,-10498
2778,-5430,5266,-8954,2190,-7025
1732,-4936,4715,-6004,4180,-10721
1543,-2779,3382,-6205,5801,-8898
1557,-4055,9780,-11867,3678,-8398
3320,-4548,2183,-9505,3767,-6928
3387,-5572,3200,-6274,4721,-5897
1691,-6171,4586,-8238,2987,-11340
1669,-3493,9159,-10989,9132,-13059
5907,-7170,2666,-8165,6383,-13277
1575,-3111,5692,-10179,2831,-4209
3647,-7611,3726,-10017,3555,-9192
1503,-2620,1632,-2750,1505,-3138
1748,-5995,4798,-6304,2177,-11252
1625,-5038,5541,-10838,4461,-8540
3030,-5039,6527,-8231,3253,-9343
1777,-2912,3858,-6729,4515,-7990
2215,-3409,5848,-9282,2353,-6571
3479,-7199,4020,-9669,9837,-12769
1555,-2599,2487,-4105,1518,-2621
4511,-9571,3814,-9844,1860,-13247
3471,-7228,2217,-10574,2492,-8964
1912,-5662,7921,-9431,2480,-6987
2055,-4535,2714,-5426,6191,-7382
1585,-2689,1901,-3559,1940,-4094
2992,-5292,8584,-12529,4062,-7428
1750,-4530,2642,-6912,4314,-5474
2775,-5610,3129,-6593,3950,-9888
2281,-5122,5848,-7705,1796,-7963
4086,-6581,1898,-10186,7516,-9053
1524,-3670,2784,-4370,3766,-6932
2439,-5744,4747,-10221,2300,-10781
1518,-3084,4701,-6227,1517,-4131
2189,-3829,3047,-4447,2852,-10202
1698,-3770,4565,-9661,4978,-6093
1512,-2594,1687,-3063,2863,-9190
1796,-2797,1717,-11255,7546,-9630
3517,-6539,3193,-7222,3746,-9076
3507,-8436,4137,-13206,4401,-8997
1528,-3046,6100,-8758,2777,-3848
1933,-4380,2108,-6960,1989,-6289
1552,-4316,5915,-10427,4786,-8304
1733,-3450,2425,-7889,1952,-6190
1687,-2731,1810,-5425,1555,-3053
2917,-7035,4839,-12092,5473,-10702
2773,-4066,3619,-6405,1722,-4369
2725,-4883,3410,-6408,8151,-9233
2015,-3050,5587,-7945,3139,-4776
2185,-3347,5979,-8507,2530,-3549
1687,-4285,9678,-11351,4139,-6498
2486,-3552,5278,-12362,8705,-10098
3057,-4893,1603,-6133,1970,-5175
1719,-3172,3146,-12542,2602,-4495
1552,-2591,3142,-5834,1524,-2651
1839,-3920,4104,-5184,6912,-12676
1855,-3021,9847,-11964,3155,-4692
1589,-2877,11114,-13022,2792,-9222
1990,-3297,1599,-9191,6067,-9221
1621,-2761,4432,-7419,1553,-3302
1545,-2600,2627,-4013,1879,-3422
1546,-2812,3490,-4564,5960,-9862
3029,-7393,6780,-9175,4455,-12130
6760,-8057,1844,-8238,5848,-10653
2172,-4734,2729,-4868,5247,-8213
1806,-2983,9458,-12046,1551,-3281
1588,-2987,2262,-7663,2142,-3252
5409,-6568,7670,-10538,4208,-9092
1560,-2609,1533,-4132,5920,-11926
1618,-2809,1787,-3083,4684,-8389
1531,-2572,4108,-5316,1508,-2883
1529,-2964,1777,-3045,5051,-7159
1638,-4352,2985,-6081,5028,-6453
1514,-2548,1532,-2577,3161,-8074
3600,-5437,6380,-11766,5314,-10471
1563,-2714,1991,-6748,1863,-2928
2785,-5944,6615,-9125,4037,-7481
3063,-4280,3433,-6125,3350,-8519
2004,-3095,1747,-3252,9804,-12580
2294,-5622,2396,-10747,3781,-6240
1808,-3590,1731,-4807,4296,-7480
1709,-2888,2368,-5562,4424,-6344
2139,-3847,2642,-8930,2576,-4821
1921,-4010,2638,-4449,7900,-10620
1668,-3930,2911,-9205,1623,-8815
1785,-3259,2496,-5693,3796,-5391
1909,-3164,8821,-10763,2668,-10113
1719,-2953,8540,-10915,1875,-3628
2471,-3520,1743,-6240,6522,-7581
1651,-2755,2855,-5057,2414,-3493
1516,-2516,1655,-3009,6311,-9924
1603,-3978,3672,-5097,2927,-12113
2023,-4059,4538,-5737,10493,-11769
1731,-3193,8734,-9837,2098,-3296
1989,-3643,9322,-13245,2727,-3829
3877,-8619,8805,-10236,6195,-10870
5478,-9637,4014,-10371,2159,-12897
2690,-6763,2295,-12833,5201,-10701
1621,-2659,2176,-3613,1673,-2875
